HD007000	0	D(is)	ADJ	deus
HD007000	1	M(anibus)	N:abl	manis|manus
HD007000	2	/		
HD007000	3	[Lu]c(ius)		
HD007000	4	Petr/onius		
HD007000	5	vix(it)	V:IND	vivo
HD007000	6	/		
HD007000	7	annos	N:acc	annus
HD007000	8	XXXX	NUM	64
HD007000	9	/		
HD007000	10	C[o]mitinu[s]		
HD007000	11	/		
HD007000	12	poss(uit)(!)	V:IND	<unknown>
HD007001	0	Valeria		
HD007001	1	C(ai)		
HD007001	2	f(ilia)	N:voc	filia
HD007001	3	I[---]		
HD007001	4	/		
HD007001	5	C(ai)		
HD007001	6	Iuli		
HD007001	7	C(ai)		
HD007001	8	f(ilii)	N:nom	filius
HD007001	9	Iuli[ani]		
HD007001	10	/		
HD007001	11	C(aio)		
HD007001	12	Iuli(o)		
HD007001	13	C(ai)		
HD007001	14	f(ilio)	N:dat	filius
HD007001	15	Avit[o]		
HD007001	16	/		
HD007001	17	qui	REL	qui
HD007001	18	vixit	V:IND	vivo
HD007001	19	ann(os)	N:acc	annus
HD007001	20	[---]		
HD007001	21	/		
HD007001	22	[&?		
HD007002	0	Her(culi)		
HD007002	1	/		
HD007002	2	Val(erius?)		
HD007002	3	Pro(bus?)		
HD007002	4	/		
HD007002	5	vot(um)	N:nom	votum
HD007002	6	sol(vit)	V:IND	solvo
HD007003	0	Coh(ors)		
HD007003	1	[---]		
HD007003	2	/		
HD007003	3	I[---]		
HD007003	4	/		
HD007003	5	[&		
HD007004	0	D(is)	ADJ	deus
HD007004	1	M(anibus)	N:abl	manis|manus
HD007004	2	[s(acrum)]	ADJ	sacer
HD007004	3	/		
HD007004	4	Valerian[o		
HD007004	5	in]/fanti	ADJ	infans
HD007004	6	dulci[ssi]/mo	ADJ	dulcis
HD007004	7	Eucharis/tus		
HD007004	8	pater	N:nom	pater
HD007004	9	et	CC	et
HD007004	10	Chia		
HD007004	11	/		
HD007004	12	[mate]r	N:nom	mater
HD007004	13	inmature	N:voc	<unknown>
HD007004	14	/		
HD007004	15	[sibi	PRON	se
HD007004	16	erep]to	V:PTC:abl	eripio
HD007004	17	fecerun[t]	V:IND	facio
HD007005	0	B(onae)		
HD007005	1	F(ortunae)		
HD007005	2	/		
HD007005	3	pro	PREP	pro
HD007005	4	salute	N:abl	salus
HD007005	5	et	CC	et
HD007005	6	/		
HD007005	7	victoria	N:nom	victoria
HD007005	8	Impp(eratorum)		
HD007005	9	/		
HD007005	10	Trebonii(!)		
HD007005	11	Galli		
HD007005	12	/		
HD007005	13	et	CC	et
HD007005	14	Veldum/niani		
HD007005	15	Volus/{t}iani		
HD007005	16	Augg(ustorum)		
HD007005	17	/		
HD007005	18	a	PREP	a
HD007005	19	Dorulaeo		
HD007006	0	Deo	N:dat	Deus
HD007006	1	[&		
HD007007	0	L(uci)		
HD007007	1	Obili		
HD007007	2	L(uci)		
HD007007	3	f(ilii)	N:nom	filius
HD007007	4	Hels		
HD007008	0	B(onae)		
HD007008	1	F(ortunae)		
HD007008	2	/		
HD007008	3	pro	PREP	pro
HD007008	4	salute	N:abl	salus
HD007008	5	et	CC	et
HD007008	6	/		
HD007008	7	victoriae(!)	N:gen	victoria
HD007008	8	Imp(eratoris)		
HD007008	9	C/aes(aris)		
HD007008	10	C(ai)		
HD007008	11	Messii		
HD007008	12	/		
HD007008	13	Quinti		
HD007008	14	T<r=K>aiani		
HD007008	15	Decii		
HD007008	16	Aug(usti)		
HD007008	17	e/t	CC	et
HD007008	18	(H)erenniae		
HD007008	19	/		
HD007008	20	Et<r=K>uscillae		
HD007008	21	Aug(ustae)		
HD007008	22	a	PREP	a
HD007008	23	Doro(laeo)		
HD007009	0	[I(ovi)]		
HD007009	1	O(ptimo)	ADJ:SUP	bonus
HD007009	2	M(aximo)	ADJ:SUP	magnus|maximus
HD007009	3	/		
HD007009	4	[&		
HD007010	0	Menander		
HD007010	1	Faustus		
HD007010	2	l(ibertus)	N:nom	libertus
HD007010	3	de	PREP	de
HD007010	4	suo	POSS	suus
HD007011	0	D(omino)	N:dat	dominus
HD007011	1	n(ostro)	POSS	noster
HD007011	2	/		
HD007011	3	Inperatori(!)		
HD007011	4	Caes(ari)		
HD007011	5	/		
HD007011	6	Claud(io)		
HD007011	7	Iuliano		
HD007011	8	/		
HD007011	9	P(io)		
HD007011	10	<F=E>(elici)		
HD007011	11	semper	ADV	semper
HD007011	12	Aug(usto)		
HD007011	13	/		
HD007011	14	Fl(avius)		
HD007011	15	Dom(itius)		
HD007011	16	Hilarius		
HD007011	17	/		
HD007011	18	v(ir)	N:nom	vir
HD007011	19	c(larissimus)	V:IND	<unknown>
HD007011	20	praeses	N:nom	praeses
HD007011	21	/		
HD007011	22	prov(inciae)	N:dat	provincia
HD007011	23	Helenopont(i)		
HD007012	0	C(aio)		
HD007012	1	Caeser(i)(!)		
HD007012	2	/		
HD007012	3	M(arco)		
HD007012	4	Lepido		
HD007012	5	co(n)s(ulibus)	N:dat	consul
HD007013	0	Maecia		
HD007013	1	C(ai)		
HD007013	2	l(iberta)	N:nom	liberta
HD007013	3	/		
HD007013	4	Saluta		
HD007013	5	sibi	PRON	se
HD007013	6	/		
HD007013	7	et	CC	et
HD007013	8	patrono	N:dat	patronus
HD007013	9	/		
HD007013	10	suo	POSS	suus
HD007013	11	et	CC	et
HD007013	12	Tito		
HD007013	13	/		
HD007013	14	Reieno		
HD007013	15	T(iti)		
HD007013	16	f(ilio)	N:dat	filius
HD007013	17	Celeri		
HD007014	0	[Imp(eratori)		
HD007014	1	Caes(ari)		
HD007014	2	Flav(io)		
HD007014	3	Val]er(io)		
HD007014	4	/		
HD007014	5	[Con]stantio		
HD007014	6	P(io)		
HD007014	7	F(elici)		
HD007014	8	Invict(o)		
HD007014	9	Aug(usto)		
HD007014	10	/		
HD007014	11	[et	CC	et
HD007014	12	Im]p(eratori)		
HD007014	13	Caes(ari)		
HD007014	14	Gal(erio)		
HD007014	15	Valerio		
HD007014	16	/		
HD007014	17	[Maxi]miano		
HD007014	18	P(io)		
HD007014	19	F(elici)		
HD007014	20	Invict(o)		
HD007014	21	Aug(usto)		
HD007014	22	/		
HD007014	23	[[[et	CC	et
HD007014	24	Fl(avio)		
HD007014	25	Val(erio)		
HD007014	26	Severo		
HD007014	27	et	CC	et
HD007014	28	Gal(erio)		
HD007014	29	Val(erio)]]]		
HD007014	30	/		
HD007014	31	[[[Maximino		
HD007014	32	nobill(issimis)	ADJ:SUP	<unknown>
HD007014	33	Caess(aribus)]]]		
HD007014	34	/		
HD007014	35	[Aur(elius)]		
HD007014	36	Hierax		
HD007014	37	v(ir)	N:nom	vir
HD007014	38	p(erfectissimus)	ADJ:SUP	perfectus
HD007014	39	p[r(aeses)	N:nom	praeses
HD007014	40	p(rovinciae)	N:dat	provincia
HD007014	41	Po]nt(i)		
HD007014	42	/		
HD007014	43	Paflag(oniae)(!)		
HD007015	0	Pomponia		
HD007015	1	T(iti)		
HD007015	2	[f(ilia)]	N:voc	filia
HD007015	3	/		
HD007015	4	mater	N:nom	mater
HD007016	0	[D(is)]	ADJ	deus
HD007016	1	M(anibus)	N:abl	manis|manus
HD007016	2	/		
HD007016	3	[---]cleci[---]		
HD007016	4	/		
HD007016	5	Mactor[ius?]		
HD007016	6	/		
HD007016	7	tricliniu/s(!)	N:nom	<unknown>
HD007016	8	III	NUM	3
HD007016	9	posui/t	V:IND	pono
HD007016	10	bene	ADV	bene
HD007016	11	me/renti	V:PTC:abl	mereo
HD007018	0	P(ublius)		
HD007018	1	Antilius		
